id;report_date;details;is_successful
1;2026-03-04T11:33:06;../fake-data/blob/hipster.txt;false
2;2026-03-04T17:47:25;../fake-data/blob/hipster.txt;true
3;2026-03-04T16:39:30;../fake-data/blob/hipster.txt;false
4;2026-03-04T07:04:11;../fake-data/blob/hipster.txt;true
5;2026-03-04T03:37:29;../fake-data/blob/hipster.txt;false
6;2026-03-04T15:06:59;../fake-data/blob/hipster.txt;true
7;2026-03-04T06:14:34;../fake-data/blob/hipster.txt;true
8;2026-03-04T13:40:54;../fake-data/blob/hipster.txt;true
9;2026-03-04T07:32:50;../fake-data/blob/hipster.txt;true
10;2026-03-04T06:10:52;../fake-data/blob/hipster.txt;true
